Square,NumChecklists,NumBirdChecklists,NumBirds
3718;-12221,1.0,1.0,4.0
3442;-11989,11.0,0.0,0
3653;-12188,114.0,7.0,9.0
3444;-11962,7.0,0.0,0
3739;-11965,1.0,1.0,2.0
3367;-11789,6.0,0.0,0
3456;-11995,2.0,0.0,0
3697;-12206,20.0,17.0,40.0
3846;-12315,9.0,0.0,0
3912;-12114,10.0,0.0,0
3995;-12088,10.0,8.0,32.0
4128;-12232,1.0,0.0,0
3637;-12189,11.0,0.0,0
3520;-11866,1.0,1.0,12.0
3706;-12152,2.0,0.0,0
3475;-12034,1.0,0.0,0
3985;-12371,2.0,2.0,10.0
3744;-12211,21.0,0.0,0
3483;-11459,5.0,0.0,0
3845;-12053,2.0,2.0,4.0
3312;-11716,14.0,0.0,0
3755;-12226,1.0,0.0,0
3435;-11908,1.0,0.0,0
3399;-12011,1.0,0.0,0
3769;-12218,1.0,0.0,0
3753;-12225,16.0,0.0,0
3596;-12011,2.0,0.0,0
3414;-11911,2.0,0.0,0
3698;-12178,27.0,1.0,1.0
3956;-12294,9.0,4.0,4.0
4059;-12431,1.0,0.0,0
3715;-11973,1.0,0.0,0
3914;-12168,1.0,0.0,0
3411;-11833,1.0,0.0,0
3536;-11899,3.0,0.0,0
3443;-11955,7.0,0.0,0
3539;-12008,1.0,0.0,0
3868;-11976,2.0,2.0,4.0
3914;-12022,2.0,2.0,7.0
3736;-12212,1.0,0.0,0
3378;-11649,1.0,0.0,0
3716;-11857,10.0,0.0,0
4039;-12078,1.0,0.0,0
4024;-12066,4.0,1.0,2.0
3747;-12229,2.0,0.0,0
3622;-11817,1.0,0.0,0
3851;-12272,1.0,1.0,1.0
3930;-12133,1.0,0.0,0
3443;-11959,1.0,0.0,0
